geneA	geneB
VIPR2	PTH
VIPR2	GNGT2
VIPR2	GPR84
VIPR2	ADCY9
VIPR2	TAAR1
VIPR2	GNG4
VIPR2	RXFP2
VIPR2	ADCY2
VIPR2	PTH2R
VIPR2	MC4R
VIPR2	MC5R
VIPR2	HTR4
VIPR2	GHRHR
VIPR2	INSL3
VIPR2	CRH
VIPR2	ADCYAP1
VIPR2	GLP1R
VIPR2	GPR176
VIPR2	POMC
VIPR2	GPR20
VIPR2	AVPR2
VIPR2	GPR150
VIPR2	GPBAR1
VIPR2	RLN2
VIPR2	PTGER4
VIPR2	MC2R
VIPR2	VIP
VIPR2	GLP2R
VIPR2	PTHLH
VIPR2	GNG2
VIPR2	PTH2
VIPR2	ADORA2A
VIPR2	ADCY8
VIPR2	CALCR
VIPR2	RLN3
VIPR2	ADRB2
VIPR2	ADCY4
VIPR2	ADCYAP1R1
KCNH2	KCNAB3
KCNH2	KCNE3
KCNH2	KCNE5
KCNH2	KCNE4
KCNH2	KCNE2
KCNH2	KCNAB2
KCNH2	KCNAB1
KCNH2	KCNE1
RHEB	RRAGD
RHEB	PRKAA2
RHEB	LAMTOR4
RHEB	TSC1
RHEB	AKT1
RHEB	RRAGA
RHEB	ATG101
RHEB	EIF4EBP1
RHEB	LAMTOR2
RHEB	ULK1
RHEB	LAMTOR3
RHEB	PRKAG1
RHEB	AKT1S1
RHEB	MLST8
RHEB	YWHAB
RHEB	MTOR
RHEB	PRKAA1
RHEB	DEPTOR
RHEB	EIF4E
RHEB	ATG13
RHEB	PRKAG2
RHEB	RPTOR
RHEB	LAMTOR1
RHEB	RRAGB
RHEB	RRAGC
RHEB	BNIP3
SMARCD3	FADS1
SMARCD3	CPT1A
SMARCD3	STK11
SMARCD3	ALAS1
SMARCD3	NCOA1
SMARCD3	FHL2
SMARCD3	UGT1A9
SMARCD3	CREBBP
SMARCD3	CHD9
SMARCD3	PLIN2
SMARCD3	SMARCD1
SMARCD3	PRMT5
SMARCD3	HMGCS1
SMARCD3	NCOR1
SMARCD3	NPAS2
SMARCD3	SIN3A
SMARCD3	NCOA6
SMARCD3	NCOR2
SMARCD3	PPARA
SMARCD3	ANGPTL4
SMARCD3	HMGCS2
SMARCD3	COPRS
SMARCD3	CYP7A1
SMARCD3	ACTL6A
SMARCD3	ARID1A
SMARCD3	ABCA1
SMARCD3	RXRA
SMARCD3	HELZ2
SMARCD3	CTGF
SMARCD3	CD36
SMARCD3	G0S2
SMARCD3	GLIPR1
SMARCD3	APOA2
SMARCD3	SMARCA2
SMARCD3	CYP1A1
SMARCD3	HIST2H3A
SMARCD3	MED1
SMARCD3	ACSL1
SMARCD3	FABP1
SMARCD3	ACADM
SMARCD3	GRHL1
SMARCD3	ABCB4
SMARCD3	PBRM1
SMARCD3	CPT2
SMARCD3	SMARCC2
SMARCD3	RGL1
SMARCD3	TXNRD1
SMARCD3	ANKRD1
SMARCD3	ME1
SMARCD3	NCOA2
SMARCD3	ARID1B
SMARCD3	HDAC3
SMARCD3	SMARCB1
SMARCD3	CARM1
SMARCD3	CYP4A11
SMARCD3	DNMT3A
SMARCD3	PEX11A
SMARCD3	AGT
SMARCD3	SMARCE1
SMARCD3	TNFRSF21
SMARCD3	SMARCD2
SMARCD3	TBL1XR1
KMT2C	HIST1H2BJ
KMT2C	PAGR1
KMT2C	POLR2B
KMT2C	POLR2D
KMT2C	HOXD4
KMT2C	PAX6
KMT2C	HIST1H2BK
KMT2C	HIST1H2AC
KMT2C	EP300
KMT2C	HOXB1
KMT2C	RARG
KMT2C	HOXA3
KMT2C	CREBBP
KMT2C	HOXB2
KMT2C	RBBP5
KMT2C	AJUBA
KMT2C	PLOD2
KMT2C	KMT2D
KMT2C	NCOR1
KMT2C	HOXB4
KMT2C	MAFB
KMT2C	POLR2G
KMT2C	CTCF
KMT2C	JUN
KMT2C	RARB
KMT2C	NCOA6
KMT2C	ASH2L
KMT2C	SUZ12
KMT2C	HIST2H2AC
KMT2C	RXRA
KMT2C	NCOA3
KMT2C	PKNOX1
KMT2C	H2AFX
KMT2C	HOXA1
KMT2C	EZH2
KMT2C	HOXB3
KMT2C	HIST2H3A
KMT2C	EED
KMT2C	HIST1H2AD
KMT2C	POLR2K
KMT2C	HIST2H2BE
KMT2C	PAXIP1
KMT2C	PBX1
KMT2C	WDR5
KMT2C	HIST1H2BD
KMT2C	HIST1H2BL
KMT2C	MEIS1
KMT2C	HIST1H2AJ
KMT2C	RBBP7
KMT2C	HDAC3
KMT2C	RBBP4
KMT2C	HIST1H2BN
KMT2C	HIST1H2BA
KMT2C	POLR2F
KMT2C	H2AFV
KMT2C	H2AFZ
KMT2C	HOXC4
KMT2C	DPY30
KMT2C	YY1
KMT2C	POLR2J
KMT2C	H2AFJ
KMT2C	POLR2L
KMT2C	CAMKMT
KMT2C	KDM6A
PSMB1	CDC23
PSMB1	CUL3
PSMB1	PSMD3
PSMB1	TP53
PSMB1	PSMB5
PSMB1	CCNE2
PSMB1	PAK2
PSMB1	PSMA8
PSMB1	TNFRSF12A
PSMB1	CDK1
PSMB1	ANAPC2
PSMB1	PRICKLE1
PSMB1	CCNA2
PSMB1	PSME4
PSMB1	AXIN2
PSMB1	PSMC5
PSMB1	SKP2
PSMB1	PSMA5
PSMB1	OAZ2
PSMB1	CUL1
PSMB1	CD40LG
PSMB1	UBC
PSMB1	CCNE1
PSMB1	CDC27
PSMB1	PSME3
PSMB1	AMER1
PSMB1	PSMC3
PSMB1	RNF146
PSMB1	TNKS
PSMB1	PSMF1
PSMB1	PSMD14
PSMB1	UBE2D1
PSMB1	NFKBIB
PSMB1	PSMD2
PSMB1	BUB3
PSMB1	TNFRSF11A
PSMB1	SPRED1
PSMB1	DVL1
PSMB1	BIRC3
PSMB1	GLI2
PSMB1	RELA
PSMB1	REL
PSMB1	SPRED2
PSMB1	BUB1B
PSMB1	ANAPC1
PSMB1	OAZ3
PSMB1	POMP
PSMB1	ITCH
PSMB1	NFKBIE
PSMB1	CDC26
PSMB1	PPP2R5C
PSMB1	PPP2R1A
PSMB1	PPP2CA
PSMB1	PSMD9
PSMB1	PSMB9
PSMB1	NFKB2
PSMB1	ANAPC7
PSMB1	ANAPC16
PSMB1	SMURF2
PSMB1	TRAF3
PSMB1	PSMA7
PSMB1	TNFSF14
PSMB1	PSME1
PSMB1	UCHL5
PSMB1	BTRC
PSMB1	UBB
PSMB1	UBE2E1
PSMB1	PSMB6
PSMB1	PSMC2
PSMB1	PSMA1
PSMB1	TNFRSF13C
PSMB1	PTTG1
PSMB1	ANAPC11
PSMB1	CDK2
PSMB1	SUFU
PSMB1	RPN1
PSMB1	CDC25A
PSMB1	AXIN1
PSMB1	PPP2R5E
PSMB1	TNKS2
PSMB1	PLK1
PSMB1	GLI3
PSMB1	MAD2L1
PSMB1	PSMD12
PSMB1	PSMD6
PSMB1	CDC16
PSMB1	PSMB8
PSMB1	TNFRSF1B
PSMB1	GTSE1
PSMB1	TNFSF13B
PSMB1	PSMB10
PSMB1	PSMD1
PSMB1	NF1
PSMB1	PPP2R5D
PSMB1	TNF
PSMB1	ORC1
PSMB1	UBA52
PSMB1	UBE2C
PSMB1	DVL3
PSMB1	PSMB4
PSMB1	SPOPL
PSMB1	PPP2R1B
PSMB1	PSMD4
PSMB1	SPRED3
PSMB1	IHH
PSMB1	HECW1
PSMB1	COP1
PSMB1	RPS27A
PSMB1	PSMB2
PSMB1	PSMC6
PSMB1	PSMB11
PSMB1	SHH
PSMB1	DHH
PSMB1	KLHL12
PSMB1	CSNK1A1
PSMB1	PSMD13
PSMB1	ANAPC10
PSMB1	LTA
PSMB1	LTB
PSMB1	ANAPC4
PSMB1	NUMB
PSMB1	AURKB
PSMB1	CDC20
PSMB1	GSK3B
PSMB1	FZR1
TRAM1	RPS15
TRAM1	RPL10
TRAM1	RPL36A
TRAM1	RPL26
TRAM1	RPL26L1
TRAM1	RPL13
TRAM1	SRPRA
TRAM1	RPL37
TRAM1	SSR2
TRAM1	RPS4X
TRAM1	RPL37A
TRAM1	SRP72
TRAM1	RPL5
TRAM1	RPS11
TRAM1	RPL22
TRAM1	RPS19
TRAM1	RPS20
TRAM1	RPL7
TRAM1	RPL12
TRAM1	RPLP1
TRAM1	RPS24
TRAM1	RPL35A
TRAM1	RPS21
TRAM1	SSR3
TRAM1	RPL41
TRAM1	RPS28
TRAM1	RPL27A
TRAM1	RPL39
TRAM1	RPL11
TRAM1	RPS10
TRAM1	RPS14
TRAM1	RPS7
TRAM1	RPL22L1
TRAM1	RPL39L
TRAM1	UBA52
TRAM1	RPLP2
TRAM1	RPS27A
TRAM1	RPLP0
TRAM1	RPL9
TRAM1	RPL23A
TRAM1	SRP19
TRAM1	RPS8
TRAM1	RPL30
TRAM1	SPCS3
TRAM1	SPCS2
TRAM1	SEC61A2
TRAM1	RPS29
TRAM1	RPL14
TRAM1	RPS9
TRAM1	RPL7A
TRAM1	RPL3
TRAM1	RPS2
TRAM1	DDOST
TRAM1	SRP9
TRAM1	RPS23
TRAM1	RPL32
TRAM1	RPS27
TRAM1	RPL36AL
TRAM1	RPL4
TRAM1	RPS3
TRAM1	RPL18
TRAM1	RPS26
TRAM1	RPL29
TRAM1	RPS25
TRAM1	SEC11C
TRAM1	RPS18
TRAM1	RPL21
TRAM1	SRPRB
TRAM1	RPL38
TRAM1	RPL10A
TRAM1	RPL23
TRAM1	SEC11A
TRAM1	RPL10L
TRAM1	RPL15
TRAM1	RPL31
TRAM1	SRP68
TRAM1	RPL13A
TRAM1	RPSA
TRAM1	RPN1
TRAM1	RPS27L
TRAM1	RPL8
TRAM1	RPS6
TRAM1	RPL24
TRAM1	SRP14
TRAM1	SEC61G
TRAM1	RPS13
TRAM1	SSR4
TRAM1	RPS15A
TRAM1	RPL17
TRAM1	RPL34
TRAM1	RPS3A
TRAM1	RPL3L
ARFGEF1	ARF1
ARFGEF1	RHOA
ARFGEF1	GNA12
ARFGEF1	GNA13
TMED2	ANK2
TMED2	ARFGAP2
TMED2	TRAPPC2
TMED2	SPTBN5
TMED2	TMED7
TMED2	DYNC1I2
TMED2	SEC16A
TMED2	DCTN4
TMED2	SERPINA1
TMED2	TMED9
TMED2	KIF2C
TMED2	COG2
TMED2	TRAPPC10
TMED2	KLC1
TMED2	FOLR1
TMED2	COPA
TMED2	TRAPPC2L
TMED2	STX18
TMED2	MCFD2
TMED2	KDELR1
TMED2	COG1
TMED2	COG4
TMED2	KIFAP3
TMED2	SEC16B
TMED2	KIF5B
TMED2	TMED4
TMED2	GBF1
TMED2	COPE
TMED2	KIF1B
TMED2	GOLGB1
TMED2	ARCN1
TMED2	F8
TMED2	ARFGAP1
TMED2	KIF4A
TMED2	NOTCH1
TMED2	ARFGAP3
TMED2	CENPE
TMED2	SPTBN4
TMED2	KIFC2
TMED2	SURF4
TMED2	SEC22A
TMED2	TRAPPC5
TMED2	NAPG
TMED2	SEC24D
TMED2	KIF6
TMED2	ANK3
TMED2	KIF4B
TMED2	NOTCH4
TMED2	DCTN1
TMED2	KIF16B
TMED2	COG5
TMED2	SCFD1
TMED2	KIF5A
TMED2	CD59
TMED2	COG7
TMED2	DYNC1I1
TMED2	KIF21A
TMED2	TRAPPC3
TMED2	CNIH3
TMED2	LMAN1L
TMED2	TRAPPC1
TMED2	SEC23IP
TMED2	CSNK1D
TMED2	GORASP1
TMED2	SPTAN1
TMED2	COPB2
TMED2	SEC24C
TMED2	KIF15
TMED2	GRIA1
TMED2	KIF3C
TMED2	SEC24A
TMED2	KLC2
TMED2	RAB1A
TMED2	NBAS
TMED2	KIF1C
TMED2	SPTBN1
TMED2	KIF2B
TMED2	COG6
TMED2	KIF20A
TMED2	KIF12
TMED2	KLC3
TMED2	DCTN5
TMED2	SEC24B
TMED2	TRAPPC4
TMED2	RACGAP1
TMED2	TRAPPC6B
TMED2	GOLGA2
TMED2	SPTBN2
TMED2	SEC23A
TMED2	NAPB
TMED2	ARF1
TMED2	DCTN2
TMED2	NSF
TMED2	KIF25
TMED2	CD55
TMED2	ARF4
TMED2	LMAN2L
TMED2	SPTB
TMED2	SEC22C
TMED2	SEC13
TMED2	DYNC1H1
TMED2	KIF21B
TMED2	SAR1B
TMED2	KIF1A
TMED2	KDELR3
TMED2	TMEM115
TMED2	KIF26B
TMED2	KIF26A
TMED2	KIF2A
TMED2	TMED3
TMED2	NAPA
TMED2	KIF13B
TMED2	F5
TMED2	COPG1
TMED2	TGFA
TMED2	DYNC2H1
TMED2	KIF19
TMED2	KIF3B
TMED2	COL7A1
TMED2	BET1L
TMED2	TRAPPC9
TMED2	NOTCH3
TMED2	KIF18A
TMED2	ANK1
TMED2	LMAN2
TMED2	CNIH2
TMED2	KIF27
TMED2	SEC31A
TMED2	USE1
TMED2	KIF3A
TMED2	RAB1B
TMED2	STX5
TMED2	TMED10
YY1	POLR2K
YY1	NFRKB
YY1	HCFC1
YY1	HDAC2
YY1	CUL4B
YY1	HIST1H2BL
YY1	DDB1
YY1	CUL4A
YY1	COPS5
YY1	ACTR8
YY1	KDM6A
YY1	POLR2L
YY1	TFDP1
YY1	HIST1H2AC
YY1	ING3
YY1	EP300
YY1	TFAP2B
YY1	E2F2
YY1	CREBBP
YY1	TRRAP
YY1	ERBB2
YY1	RBBP5
YY1	PPARGC1A
YY1	EP400
YY1	NCOR1
YY1	KMT2D
YY1	TP53
YY1	INO80
YY1	INO80E
YY1	POLR2G
YY1	RAD23B
YY1	ASXL1
YY1	INO80C
YY1	COPS3
YY1	RARB
YY1	NCOA6
YY1	MLST8
YY1	CETN2
YY1	ASH2L
YY1	ACTL6A
YY1	FOXK2
YY1	KAT5
YY1	ASXL2
YY1	COPS6
YY1	SUZ12
YY1	COPS2
YY1	HIST2H2AC
YY1	RXRA
YY1	NCOA3
YY1	OGT
YY1	BAP1
YY1	H2AFX
YY1	HDAC1
YY1	TFDP2
YY1	UBE2D1
YY1	MYC
YY1	MCRS1
YY1	EZH2
YY1	HIST2H3A
YY1	COPS8
YY1	GAA
YY1	EED
YY1	HIST1H2AD
YY1	UCHL5
YY1	HIST2H2BE
YY1	PAXIP1
YY1	RAD23A
YY1	WDR5
YY1	HIST1H2AJ
YY1	HIST1H2BJ
YY1	ACTB
YY1	PAGR1
YY1	POLR2B
YY1	POLR2D
YY1	HOXD4
YY1	PAX6
YY1	RUVBL1
YY1	SAP30
YY1	HIST1H2BK
YY1	TFPT
YY1	NOTCH1
YY1	MTOR
YY1	E2F3
YY1	HIST1H2BD
YY1	RBBP7
YY1	HDAC3
YY1	CYCS
YY1	RBBP4
YY1	HIST1H2BN
YY1	HIST1H2BA
YY1	POLR2F
YY1	RPTOR
YY1	H2AFV
YY1	H2AFZ
YY1	RYBP
YY1	COPS4
YY1	RUVBL2
YY1	POLR2J
YY1	INO80D
YY1	H2AFJ
YY1	COPS7B
YY1	XPC
YY1	FOXK1
YY1	KAT2B
PIH1D1	RUVBL1
PIH1D1	RUVBL2
MYH14	MYLK
MYH14	MYL6
MYH14	RAC1
MYH14	RHOA
MYH14	MYL9
MYH14	MYH10
MYH14	PAK2
MYH14	ROCK1
MYH14	ROCK2
MYH14	RHOC
MYH14	CIT
MYH14	MYH8
MYH14	MYH7
MYH14	PPP1CB
MYH14	RHOB
MYH14	MYH11
MYH14	MYH6
TRIM37	UBA5
TRIM37	DZIP3
TRIM37	FBXW5
TRIM37	TRIP12
TRIM37	LRRC41
TRIM37	KLHL41
TRIM37	ASB6
TRIM37	ASB1
TRIM37	RBBP6
TRIM37	FBXO4
TRIM37	UBE2U
TRIM37	TRIM71
TRIM37	UBE2S
TRIM37	FBXW8
TRIM37	RNF34
TRIM37	ANAPC2
TRIM37	UBE2Q1
TRIM37	TRAF7
TRIM37	SPSB4
TRIM37	UBE2N
TRIM37	HECTD1
TRIM37	ASB8
TRIM37	RNF7
TRIM37	TRIM63
TRIM37	FBXL20
TRIM37	CUL5
TRIM37	LTN1
TRIM37	FBXO40
TRIM37	SIAH1
TRIM37	LONRF1
TRIM37	CDC16
TRIM37	UBR4
TRIM37	UBR1
TRIM37	PJA1
TRIM37	KLHL5
TRIM37	SKP2
TRIM37	KLHL9
TRIM37	KCTD6
TRIM37	UBE2E2
TRIM37	HERC4
TRIM37	ASB7
TRIM37	UBE2D3
TRIM37	KBTBD7
TRIM37	RNF213
TRIM37	RNF130
TRIM37	CUL1
TRIM37	ASB5
TRIM37	ZNRF1
TRIM37	FBXL14
TRIM37	ASB4
TRIM37	UBE2R2
TRIM37	SOCS3
TRIM37	UBE2J1
TRIM37	RNF4
TRIM37	FBXO15
TRIM37	MEX3C
TRIM37	FBXO27
TRIM37	WSB1
TRIM37	UBE3A
TRIM37	TRIM36
TRIM37	UBE4A
TRIM37	ASB15
TRIM37	ASB12
TRIM37	UBE3B
TRIM37	FBXO7
TRIM37	TRIM4
TRIM37	FBXO6
TRIM37	UBC
TRIM37	AREL1
TRIM37	ZBTB16
TRIM37	UBE2F
TRIM37	CDC27
TRIM37	UBR2
TRIM37	FBXW11
TRIM37	ASB9
TRIM37	TRIM39
TRIM37	KLHL42
TRIM37	UBE2V2
TRIM37	KBTBD8
TRIM37	DET1
TRIM37	KLHL22
TRIM37	UBA7
TRIM37	SH3RF1
TRIM37	RNF19A
TRIM37	ASB16
TRIM37	CUL3
TRIM37	FBXL5
TRIM37	CDC23
TRIM37	UBE2G1
TRIM37	ANAPC1
TRIM37	ELOB
TRIM37	SIAH2
TRIM37	CBLB
TRIM37	UBE2H
TRIM37	WWP1
TRIM37	FBXW7
TRIM37	RNF41
TRIM37	ITCH
TRIM37	FBXO32
TRIM37	KLHL11
TRIM37	LRSAM1
TRIM37	KLHL25
TRIM37	UBE2V1
TRIM37	RNF111
TRIM37	DTX3L
TRIM37	ARIH2
TRIM37	UBE2L6
TRIM37	FBXL19
TRIM37	FBXO2
TRIM37	FBXL13
TRIM37	UBE2D1
TRIM37	CDC26
TRIM37	ASB11
TRIM37	FBXL7
TRIM37	ANAPC11
TRIM37	ELOC
TRIM37	UBE2C
TRIM37	HERC5
TRIM37	RPS27A
TRIM37	FBXL3
TRIM37	KLHL21
TRIM37	UBE2Q2
TRIM37	TRIM9
TRIM37	FBXO17
TRIM37	TRAIP
TRIM37	UBB
TRIM37	RNF217
TRIM37	SPSB1
TRIM37	UBE2A
TRIM37	MIB2
TRIM37	RNF126
TRIM37	UBE2B
TRIM37	RNF19B
TRIM37	UBE2E1
TRIM37	TRIM50
TRIM37	CUL7
TRIM37	HERC1
TRIM37	BTBD6
TRIM37	UBE3D
TRIM37	UBAC1
TRIM37	RNF25
TRIM37	LRR1
TRIM37	KBTBD13
TRIM37	UBE2G2
TRIM37	UBA52
TRIM37	UBE2L3
TRIM37	FBXW12
TRIM37	FBXO31
TRIM37	ANAPC13
TRIM37	RNF182
TRIM37	ASB17
TRIM37	FBXL16
TRIM37	HERC3
TRIM37	FBXO22
TRIM37	MYLIP
TRIM37	FBXO21
TRIM37	KLHL2
TRIM37	PRKN
TRIM37	KLHL3
TRIM37	ATG7
TRIM37	UBE2E3
TRIM37	CCNF
TRIM37	RNF123
TRIM37	UBA3
TRIM37	UBE2D2
TRIM37	UBA1
TRIM37	LMO7
TRIM37	HECTD2
TRIM37	ZNRF2
TRIM37	CDRT1
TRIM37	SMURF2
TRIM37	SOCS1
TRIM37	SPSB2
TRIM37	KBTBD6
TRIM37	UNKL
TRIM37	BTRC
TRIM37	NEDD4L
TRIM37	HUWE1
TRIM37	TRIM32
TRIM37	RNF220
TRIM37	FBXO10
TRIM37	RCHY1
TRIM37	ASB14
TRIM37	HERC6
TRIM37	CBLL2
TRIM37	ANAPC7
TRIM37	ASB2
TRIM37	ASB13
TRIM37	FBXW9
TRIM37	SMURF1
TRIM37	UBE2Z
TRIM37	LNX1
TRIM37	ANAPC10
TRIM37	ASB18
TRIM37	NEDD4
TRIM37	CUL2
TRIM37	UBE2J2
TRIM37	TRIM11
TRIM37	TRIM41
TRIM37	FBXO41
TRIM37	ANAPC4
TRIM37	RNF6
TRIM37	HACE1
TRIM37	CDC20
TRIM37	PJA2
TRIM37	FZR1
TRIM37	FBXL18
TRIM37	ASB10
TRIM37	TRIM69
TRIM37	RNF14
TRIM37	RBCK1
TRIM37	HECTD3
TRIM37	UBE2O
TRIM37	UBE3C
TRIM37	UFL1
TRIM37	DCAF1
TRIM37	MGRN1
TRIM37	UBA6
PKMYT1	CDC25A
PKMYT1	CDK2
PKMYT1	PLK1
PKMYT1	CCNE2
PKMYT1	CDC25C
PKMYT1	CDK1
PKMYT1	CCNA2
PKMYT1	CCNE1
PKMYT1	CCNB2
LMF1	LIPC
LMF1	LMF2
NUBP2	CIAPIN1
NUBP2	NUBP1
NUBP2	NDOR1
NUBP2	POLD1
NUBP2	FAM96B
NUBP2	CIAO1
NUBP2	ERCC2
NUBP2	MMS19
NUBP2	RTEL1
PKD1	RAB11FIP3
PKD1	ARF4
PKD1	RAB8A
PKD1	EXOC7
PKD1	EXOC5
PKD1	EXOC1
PKD1	RAB3IP
PKD1	CNGA2
PKD1	EXOC3
PKD1	ASAP1
PKD1	RHO
PKD1	CNGA4
RAB11FIP3	ARF4
RAB11FIP3	RAB8A
RAB11FIP3	EXOC7
RAB11FIP3	EXOC5
RAB11FIP3	ARF6
RAB11FIP3	EXOC1
RAB11FIP3	CNGA2
RAB11FIP3	RAB3IP
RAB11FIP3	EXOC3
RAB11FIP3	CNGA4
RAB11FIP3	ASAP1
RAB11FIP3	RHO
ELOB	POLR2K
ELOB	UBB
ELOB	ERCC2
ELOB	RNF217
ELOB	FBXL14
ELOB	RNF123
ELOB	CCNF
ELOB	ASB1
ELOB	ASB6
ELOB	RBBP6
ELOB	FBXO4
ELOB	UBE2U
ELOB	UBA3
ELOB	UBE2D2
ELOB	UBE2S
ELOB	TRIM71
ELOB	LMO7
ELOB	FBXW8
ELOB	HECTD2
ELOB	ZNRF2
ELOB	GTF2F2
ELOB	RNF34
ELOB	CDRT1
ELOB	POLR2G
ELOB	ATR
ELOB	POLR2D
ELOB	POLR2B
ELOB	UBA1
ELOB	ANAPC2
ELOB	SMURF2
ELOB	UBE2Q1
ELOB	SOCS1
ELOB	ELOA2
ELOB	CDC73
ELOB	SPSB2
ELOB	CTDP1
ELOB	NEDD4L
ELOB	UBE2E3
ELOB	ATG7
ELOB	HUWE1
ELOB	SPSB4
ELOB	UNKL
ELOB	NCBP2
ELOB	FANCD2
ELOB	ASB8
ELOB	TRIM32
ELOB	RNF7
ELOB	FBXO10
ELOB	RCHY1
ELOB	FBXL20
ELOB	RNF220
ELOB	ASB14
ELOB	HERC6
ELOB	LTN1
ELOB	CUL5
ELOB	FBXO40
ELOB	TRIM63
ELOB	HIF1A
ELOB	CDC16
ELOB	LONRF1
ELOB	SIAH1
ELOB	UBR4
ELOB	ZER1
ELOB	CBLL2
ELOB	KLHL9
ELOB	ANAPC7
ELOB	HECTD1
ELOB	BTRC
ELOB	UBR1
ELOB	KLHL5
ELOB	HERC5
ELOB	PJA1
ELOB	SKP2
ELOB	FBXW5
ELOB	WDR61
ELOB	ELOC
ELOB	UBE2C
ELOB	NCBP1
ELOB	RPS27A
ELOB	KLHL21
ELOB	KCTD6
ELOB	SUPT5H
ELOB	UBE2E2
ELOB	COMMD1
ELOB	FBXL3
ELOB	KBTBD7
ELOB	ASB7
ELOB	UBE2Q2
ELOB	HERC4
ELOB	CDK9
ELOB	GTF2F1
ELOB	FBXO17
ELOB	UBE2D3
ELOB	TRIM9
ELOB	POLR2L
ELOB	RTF1
ELOB	RNF213
ELOB	TRAIP
ELOB	CUL1
ELOB	RNF130
ELOB	ASB5
ELOB	UBE2A
ELOB	SPSB1
ELOB	ZNRF1
ELOB	HACE1
ELOB	RNF126
ELOB	MIB2
ELOB	UBE2G1
ELOB	SOCS3
ELOB	RNF19B
ELOB	UBE2R2
ELOB	CCNK
ELOB	UBE2J1
ELOB	SSRP1
ELOB	CUL7
ELOB	UBE2B
ELOB	UBE2E1
ELOB	RACK1
ELOB	RNF4
ELOB	ASB4
ELOB	HERC1
ELOB	RNF25
ELOB	UBE3D
ELOB	UBAC1
ELOB	BTBD6
ELOB	TRAF7
ELOB	LRR1
ELOB	ATM
ELOB	UBE2N
ELOB	FANCI
ELOB	KBTBD13
ELOB	UBE2G2
ELOB	GTF2H2
ELOB	TRIM50
ELOB	MEX3C
ELOB	FBXO15
ELOB	FBXW12
ELOB	UBE2L3
ELOB	FBXO31
ELOB	ANAPC13
ELOB	TRIM36
ELOB	UBE3A
ELOB	WSB1
ELOB	FBXO27
ELOB	UBA52
ELOB	CHEK1
ELOB	HERC3
ELOB	FBXL16
ELOB	ASB17
ELOB	ASB15
ELOB	UBE4A
ELOB	FBXO22
ELOB	UBE3B
ELOB	FBXO21
ELOB	MYLIP
ELOB	RNF182
ELOB	RNF6
ELOB	ZBTB16
ELOB	ASB13
ELOB	KLHL2
ELOB	ELOA3
ELOB	ASB2
ELOB	FBXO7
ELOB	FBXL7
ELOB	ANAPC11
ELOB	ASB11
ELOB	LNX1
ELOB	NELFA
ELOB	POLR2F
ELOB	FBXW9
ELOB	BRCA1
ELOB	TRIM4
ELOB	NELFB
ELOB	UBC
ELOB	MDC1
ELOB	UBE2F
ELOB	AREL1
ELOB	UBE2Z
ELOB	CDK12
ELOB	SMURF1
ELOB	FBXW11
ELOB	ANAPC10
ELOB	ASB9
ELOB	KBTBD6
ELOB	UBR2
ELOB	CDC27
ELOB	ELL
ELOB	ASB18
ELOB	KLHL42
ELOB	UBE2V2
ELOB	TRIM39
ELOB	CUL2
ELOB	NEDD4
ELOB	ERCC3
ELOB	KLHDC3
ELOB	KBTBD8
ELOB	KLHL22
ELOB	TRIM11
ELOB	CCNT2
ELOB	UBA7
ELOB	GTF2H1
ELOB	HIF3A
ELOB	TRIM41
ELOB	DET1
ELOB	UBE2J2
ELOB	FBXO6
ELOB	SH3RF1
ELOB	ANAPC4
ELOB	RNF19A
ELOB	FBXL5
ELOB	CDC23
ELOB	CDC20
ELOB	POLR2J
ELOB	FZR1
ELOB	ASB16
ELOB	CUL3
ELOB	PJA2
ELOB	CTR9
ELOB	FBXO41
ELOB	ASB10
ELOB	RNF14
ELOB	ANAPC1
ELOB	TRIM69
ELOB	EPAS1
ELOB	CBLB
ELOB	SIAH2
ELOB	TCEA1
ELOB	RNF41
ELOB	UFL1
ELOB	UBE3C
ELOB	UBE2O
ELOB	RBCK1
ELOB	FBXL18
ELOB	HECTD3
ELOB	FBXW7
ELOB	UBA6
ELOB	LRSAM1
ELOB	LEO1
ELOB	WWP1
ELOB	UBE2H
ELOB	DCAF1
ELOB	MGRN1
ELOB	ITCH
ELOB	ASB12
ELOB	UBE2V1
ELOB	KLHL3
ELOB	NELFE
ELOB	KLHL25
ELOB	KLHL11
ELOB	FBXO32
ELOB	DZIP3
ELOB	DTX3L
ELOB	ARIH2
ELOB	PRKN
ELOB	ELOA
ELOB	HSP90AA1
ELOB	UBE2L6
ELOB	UBA5
ELOB	RNF111
ELOB	GTF2H3
ELOB	FBXL19
ELOB	UBE2D1
ELOB	TRIP12
ELOB	FBXO2
ELOB	LRRC41
ELOB	FBXL13
ELOB	CDC26
ELOB	KLHL41
CHTF18	DSCC1
CHTF18	RFC5
CHTF18	RFC4
CHTF18	CHTF8
CHTF18	RFC3
TELO2	MLST8
TELO2	MTOR
TELO2	TTI1
TELO2	RPTOR
TELO2	PRR5
TELO2	PRR5L
TELO2	RICTOR
AXIN1	CSNK1G1
AXIN1	PPP2R1B
AXIN1	DVL3
AXIN1	PSMB4
AXIN1	PSMD4
AXIN1	RPS27A
AXIN1	PSMB2
AXIN1	PSMC6
AXIN1	PSMB11
AXIN1	UBA52
AXIN1	PSMD13
AXIN1	TGFBR2
